学名 withAuthor,和名,別名,ステータス,ID,発表年,,,,,,,,,,,,,,,,,,
Sagittaria natans Pall.,カラフトグワイ,ウキオモダカ (Kitagawa 1939),標準,11356,1776,,,,,,,,,,,,,,,,,,
Sagittaria trifolia L.  var. alismifolia (Makino) Makino,ヒトツバオモダカ,サツマオモダカ (Makino 1910),標準,20448,1918,,,,,,,,,,,,,,,,,,
Echinodorus cordifolius (L.) Griseb.,シャゼンオモダカ,ハイシャゼンモダカ,標準,20449,1857,,,,,,,,,,,,,,,,,,
Butomus umbellatus L.,ハナイ,ハナクサイ,標準,11353,1753,,,,,,,,,,,,,,,,,,
Halophila major (Zoll.) Miq.,オオウミヒルモ,ウミコバン,標準,828,1856,,,,,,,,,,,,,,,,,,
Hydrilla verticillata (L.f.) Royle,クロモ,クルマモ (Miki 1937),標準,2291,1839,,,,,,,,,,,,,,,,,,
Najas chinensis N.Z.Wang,サガミトリゲモ,ヒロハトリゲモ (Miki 1935),標準,2811,1985,,,,,,,,,,,,,,,,,,
Blyxa echinosperma (C.B.Clarke) Hook.f.,スブタ,ナガバスブタ、コスブタ，ナガヒゲミスブタ,標準,3428,1888,,,,,,,,,,,,,,,,,,
Hydrocharis dubia (Blume) Backer,トチカガミ,ドチカガミ,標準,4286,1925,,,,,,,,,,,,,,,,,,
Vallisneria natans (Lour.) H.Hara  var. higoensis (Miki) H.Hara,ヒラモ,ヒロハセキショウモ (Miki 1934),標準,5420,1974,,,,,,,,,,,,,,,,,,
Blyxa aubertii Rich.,マルミスブタ,オオスブタ,標準,6037,1812,,,,,,,,,,,,,,,,,,
Najas ancistrocarpa A.Braun ex Magnus,ムサシモ,マガリミサヤモ (Miki 1935),標準,6358,1870,,,,,,,,,,,,,,,,,,
Ottelia alismoides (L.) Pers.,ミズオオバコ,オオミズオオバコ，マルバノミズオオバコ,標準,16683,1805,,,,,,,,,,,,,,,,,,
Halophila nipponica John Kuo,ヤマトウミヒルモ,ニッポンウミヒルモ,標準,34969,2006,,,,,,,,,,,,,,,,,,
Halophila gaudichaudii John Kuo,コバンウミヒルモ,マリアナウミヒルモ (Tuyama 1940),標準,34971,2006,,,,,,,,,,,,,,,,,,
Scheuchzeria palustris L.,ホロムイソウ,ホリソウ (1889),標準,5874,1753,,,,,,,,,,,,,,,,,,
Aponogeton distachyos L.f.,ケープヒルムシロ,キボウホウヒルムシロ,標準,11352,1782,,,,,,,,,,,,,,,,,,
Triglochin palustris L.,ホソバノシバナ,ミサキソウ,標準,5810,1753,,,,,,,,,,,,,,,,,,
Triglochin maritima L.  subsp. asiatica Kitag.,シバナ,"ウミニラ, マルミノシバナ",標準,11350,1939,,,,,,,,,,,,,,,,,,
Triglochin maritima L.,シバナ,マルミノシバナオオシバナ (Kitagawa 1939)，ヒロハノミサキソウ (Matsumura 1889),広義,20442,1753,,,,,,,,,,,,,,,,,,
Zostera marina L.,アマモ,ヒロハアマモ,標準,335,1753,,,,,,,,,,,,,,,,,,
Phyllospadix iwatensis Makino,スガモ,ウミスゲ、ハイスガモ,標準,3374,1931,,,,,,,,,,,,,,,,,,
Zostera japonica Asch. et Graebn.,コアマモ,ヒメアマモ,標準,25313,1907,,,,,,,,,,,,,,,,,,
Potamogeton compressus L.,エゾヤナギモ,アカンコモ,標準,1045,1753,,,,,,,,,,,,,,,,,,
Potamogeton natans L.,オヒルムシロ,オオヒルムシロ，メヒルムシロ,標準,1593,1753,,,,,,,,,,,,,,,,,,
Potamogeton cristatus Regel et Maack,コバノヒルムシロ,トゲミミズヒキモ (Miki 1937),標準,2671,1861,,,,,,,,,,,,,,,,,,
Potamogeton gramineus L.,エゾノヒルムシロ,エゾヒルムシロ,標準,2843,1753,,,,,,,,,,,,,,,,,,
Potamogeton wrightii Morong,ササバモ,"サジバモ, タイロモ",標準,2853,1886,,,,,,,,,,,,,,,,,,
Potamogeton praelongus Wulfen,ナガバエビモ,ナガバノエビモ,標準,4347,1805,,,,,,,,,,,,,,,,,,
Potamogeton octandrus Poir.  var. octandrus,ホソバミズヒキモ,イリオモテミズヒキモ,標準,5824,1816,,,,,,,,,,,,,,,,,,
Potamogeton x nitens Weber,ササエビモ,"カラフトササモ, テリハノエビモ",標準,23441,1787,,,,,,,,,,,,,,,,,,
Potamogeton x leptocephalus Koidz.,ヒロハノセンニンモ,ヒロハセンニンモ，ツクシササエビモ,標準,23443,1931,,,,,,,,,,,,,,,,,,
Potamogeton x fauriei (A.Benn.) Miki,アイノコヤナギモ,エゾササバモ,標準,23445,1937,,,,,,,,,,,,,,,,,,
Potamogeton x kamogawaensis Miki,カモガワモ,オオミズヒキモ (Miki 1937),標準,23446,1934,,,,,,,,,,,,,,,,,,
Zannichellia palustris L.,イトクズモ,ミカヅキイトモ,標準,26039,1753,,,,,,,,,,,,,,,,,,
Potamogeton octandrus Poir.,ミズヒキモ,"ホソバミスヒキモ, イリオモテミズヒキモ",広義,46230,1816,,,,,,,,,,,,,,,,,,
Halodule uninervis (Forssk.) Asch.,ウミジグサ,ニラウミジグサ,標準,826,1882,,,,,,,,,,,,,,,,,,
Syringodium isoetifolium (Asch.) Dandy,シオニラ,"ボウアマモ, ボウバアマモ",標準,2975,1939,,,,,,,,,,,,,,,,,,
Cymodocea serrulata (R.Br.) Asch. et Magnus,リュウキュウアマモ,タカノハアマモ,標準,6929,1870,,,,,,,,,,,,,,,,,,
Japonolirion osense Nakai,オゼソウ,テシオソウ,標準,1506,1930,,,,,,,,,,,,,,,,,,
Metanarthecium luteoviride Maxim.,ノギラン,ヒメノギラン,標準,19014,1867,,,,,,,,,,,,,,,,,,
Aletris glabra Bureau et Franch.,チョウセンノギラン,タイワンノギラン,標準,38577,1891,,,,,,,,,,,,,,,,,,
Gymnosiphon aphyllus Blume,サイフォンソウ,"サイホンソウ, シロガネシャクジョウ",標準,39550,1827,,,,,,,,,,,,,,,,,,
Dioscorea pentaphylla L.,アケビドコロ,トラトラカズラ,標準,180,1753,,,,,,,,,,,,,,,,,,
Dioscorea nipponica Makino,ウチワドコロ,コウモリドコロ,標準,804,1891,,,,,,,,,,,,,,,,,,
Dioscorea tokoro Makino,オニドコロ,トコロ,標準,1558,1889,,,,,,,,,,,,,,,,,,
Dioscorea bulbifera L.  f. domestica (Makino) Makino et Nemoto,カシュウイモ,ケイモ,標準,1680,1931,,,,,,,,,,,,,,,,,,
Dioscorea pseudojaponica Hayata,キールンヤマノイモ,キイルンヤマノイモ,標準,1879,1920,,,,,,,,,,,,,,,,,,
Dioscorea septemloba Thunb.  var. septemloba,キクバドコロ,モミジドコロ (Makino 1888),標準,1900,1784,,,,,,,,,,,,,,,,,,
Dioscorea cirrhosa Lour.,ソメモノイモ,カントンソメモノイモ,標準,3548,1790,,,,,,,,,,,,,,,,,,
Dioscorea alata L.,ダイジョ,"ダイショ, グンバイドコロ",標準,3564,1753,,,,,,,,,,,,,,,,,,
Dioscorea polystachya Turcz.,ナガイモ,ツクネイモ,標準,4326,1837,,,,,,,,,,,,,,,,,,
Dioscorea bulbifera L.,ニガカシュウ,マルバトコロ,標準,4540,1753,,,,,,,,,,,,,,,,,,
Dioscorea tenuipes Franch. et Sav.,ヒメドコロ,エドドコロ,標準,5327,1878,,,,,,,,,,,,,,,,,,
Dioscorea japonica Thunb.,ヤマノイモ,"ジネンジョ，ヤマイモ，日本薯預, 野山薬",標準,10481,1784,,,,,,,,,,,,,,,,,,
Dioscorea cayenensis Lam.,キイロギニアヤム,ギネアヤム,標準,14342,1789,,,,,,,,,,,,,,,,,,
Dioscorea esculenta (Lour.) Burkill  var. spinosa (Roxb. ex Prain et Burkill) R.Knuth,トゲイモ,トゲドコロ，ハリイモ,標準,17053,1924,,,,,,,,,,,,,,,,,,
Dioscorea tabatae Hatus. ex Yamashita et M.N.Tamura,ユワンオニドコロ,アマミドコロ,標準,33287,2008,,,,,,,,,,,,,,,,,,
Dioscorea esculenta (Lour.) Burkill,トゲイモ,"トゲドコロ，ハリイモ, タマゴイモ",広義,38718,1917,,,,,,,,,,,,,,,,,,
Dioscorea elephantipes (L'Hér.) Engl.,ツルカメソウ,ゾウノアシソウ,標準,48574,1908,,,,,,,,,,,,,,,,,,
Sciaphila secundiflora Thwaites ex Benth.,ウエマツソウ,トキヒサソウ，ムニンホンゴウソウ,標準,730,1855,,,,,,,,,,,,,,,,,,
Sciaphila ramosa Fukuy. et T.Suzuki,スズフリホンゴウソウ,ササキソウ,標準,3394,1936,,,,,,,,,,,,,,,,,,
Stemona japonica (Blume) Miq.,ビャクブ,"リキュウソウ, トウビャクブ",標準,5394,1867,,,,,,,,,,,,,,,,,,
Carludovica palmata Ruiz et Pav.,パナマソウ,トンキラヤシ,標準,10825,1798,,,,,,,,,,,,,,,,,,
Pandanus utilils Bory,アカタコノキ,ビヨウタコノキ,標準,33754,1833,,,,,,,,,,,,,,,,,,
Pandanus amaryllifolius Roxb.,ニオイアダン,ホソバタコノキ,標準,44123,1832,,,,,,,,,,,,,,,,,,
Veratrum maackii Regel  var. parviflorum (Maxim. ex Miq.) H.Hara,アオヤギソウ,ヒロハアオヤギソウ,標準,96,1954,,,,,,,,,,,,,,,,,,
Veratrum stamineum Maxim.,コバイケイソウ,コバイケイ,標準,2638,1870,,,,,,,,,,,,,,,,,,
Chionographis koidzumiana Ohwi,チャボシライトソウ,"ヒナシライトソウ, ミカワシライトソウ",標準,3890,1930,,,,,,,,,,,,,,,,,,
Paris tetraphylla A.Gray,ツクバネソウ,ヤクシマツクバネソウ,標準,4007,1858,,,,,,,,,,,,,,,,,,
Veratrum oxysepalum Turcz.  var. oxysepalum,バイケイソウ,"エゾバイケイソウ, ミヤマバイケイソウ",標準,4755,1840,,,,,,,,,,,,,,,,,,
Trillium tschonoskii Maxim.,ミヤマエンレイソウ,シロバナエンレイソウ (Yatabe 1893),標準,6234,1883,,,,,,,,,,,,,,,,,,
Veratrum maackii Regel  var. longibracteatum (Takeda) H.Hara  f. atropurpureum (Honda) T.Shimizu,ムラサキタカネアオヤギソウ,タカネシュロソウ,標準,6412,1983,,,,,,,,,,,,,,,,,,
Heloniopsis breviscapa Maxim.  var. breviscapa,ツクシショウジョウバカマ,ヤクシマショウジョウバカマ,標準,17012,1867,,,,,,,,,,,,,,,,,,
Trillium camschatcense Ker Gawl.  f. violaceum (Miyabe et Tatew.) H.Nakai et Koji Ito,ウスイロオオバナノエンレイソウ,ウスイロオオバナエンレイソウ,標準,17474,1991,,,,,,,,,,,,,,,,,,
Heloniopsis umbellata Baker,ヒメショウジョウバカマ,シマショウジョウバカマ，タイワンショウジョウバカマ,標準,17581,1874,,,,,,,,,,,,,,,,,,
Heloniopsis orientalis (Thunb.) Tanaka,ショウジョウバカマ,キバナショウジョウバカマ,標準,19011,1925,,,,,,,,,,,,,,,,,,
Heloniopsis breviscapa Maxim.  var. flavida (Nakai) H.Hara,シロバナショウジョウバカマ,キバナショウジョウバカマ,標準,19012,1948,,,,,,,,,,,,,,,,,,
Heloniopsis kawanoi (Koidz.) Honda,コショウジョウバカマ,シマショウジョウバカマ,標準,19614,1937,,,,,,,,,,,,,,,,,,
Trillium tschonoskii Maxim.  var. atrorubens Miyabe et Tatew.,エゾノミヤマエンレイソウ,シロバナエンレイソウ,標準,30738,1936,,,,,,,,,,,,,,,,,,
Paris polyphylla Sm.  var. stenophylla Franch.,ニイタカツクバネソウ,ニイタカツクバネ,標準,38586,1887,,,,,,,,,,,,,,,,,,
Veratrum anticleoides (Trautv. et C.A.Mey.) Takeda et T.Miyake,カラフトシュロソウ,カラフトアオヤギソウ,標準,38895,1910,,,,,,,,,,,,,,,,,,
Paris polyphylla Sm.,タイワンツクバネソウ,タイワンツクバネ,広義,44157,1813,,,,,,,,,,,,,,,,,,
Veratrum bohnhofii O.Loes.,コウガイシュロソウ,ヒロハコウガイシュロソウ,標準,44935,1926,,,,,,,,,,,,,,,,,,
Veratrum maackii Regel  var. maackioides (O.Loes.) H.Hara  f. virescens H.Hara,ホソバアオヤギソウ,"アオヤギソウ(sensu Hara), タンナアオヤギソウ (Nakai 1937)",標準,46139,1984,,,,,,,,,,,,,,,,,,
Disporum viridescens (Maxim.) Nakai,オオチゴユリ,アオチゴユリ,標準,1218,1911,,,,,,,,,,,,,,,,,,
Disporum smilacinum A.Gray,チゴユリ,エダウチチゴユリ,標準,3841,1857,,,,,,,,,,,,,,,,,,
Disporum sessile D.Don ex Schult. et Schult.f.  var. sessile,ホウチャクソウ,"オオホウチャクソウ, ホソバホウチャクソウ",標準,5709,1829,,,,,,,,,,,,,,,,,,
Colchicum autumnale L.,イヌサフラン,コルチカム,標準,11110,1753,,,,,,,,,,,,,,,,,,
Gloriosa superba L.,キツネユリ,ユリグルマ,標準,11115,1753,,,,,,,,,,,,,,,,,,
Disporum sessile D.Don ex Schult. et Schult.f.  var. minus Miq.,ヒメホウチャクソウ,コホウチャクソウ,標準,17005,1867,,,,,,,,,,,,,,,,,,
Disporum uniflorum Baker,キバナホウチャクソウ,コガネホウチャクソウ,標準,21559,1875,,,,,,,,,,,,,,,,,,
Disporum kawakamii Hayata,タイサンチゴユリ,タイサンチゴザサ,標準,38617,1911,,,,,,,,,,,,,,,,,,
Disporum sessile D.Don ex Schult. et Schult.f.,ホウチャクソウ,"オオホウチャクソウ, ホソバホウチャクソウ",広義,46242,1829,,,,,,,,,,,,,,,,,,
Smilax nipponica Miq.,タチシオデ,オオバタチシオデ,標準,3731,1866,,,,,,,,,,,,,,,,,,
Smilax china L.  var. yanagitae Honda,トキワサルトリイバラ,オオサルトリイバラ、トゲナシサルトリイバラ,標準,4231,1935,,,,,,,,,,,,,,,,,,
Smilax sebeana Miq.,ハマサルトリイバラ,トゲナシカカラ,標準,4977,1866,,,,,,,,,,,,,,,,,,
Smilax biflora Siebold ex Miq.,ヒメカカラ,ヒメサルトリ,標準,5233,1866,,,,,,,,,,,,,,,,,,
Smilax sieboldii Miq.,ヤマカシュウ,サイカチバラ，ヤマガシュウ,標準,6726,1866,,,,,,,,,,,,,,,,,,
Smilax glabra Roxb.,ナメラサンキライ,ドブクリョウ,標準,11316,1831,,,,,,,,,,,,,,,,,,
Smilax riparia A.DC.,シオデ,"ザラツキシオデ， ダイブシオデ, トガリシオデ",標準,26402,1878,,,,,,,,,,,,,,,,,,
Smilax perfoliata Lour.,ツキヌキサルトリイバラ,コモチサンキライ,標準,38600,1790,,,,,,,,,,,,,,,,,,
Smilax seisuiensis (Hayata) P.Li et C.X.Fu,シオデモドキ,ホウゴウシオデモドキ,標準,38602,2013,,,,,,,,,,,,,,,,,,
Cardiocrinum cordatum (Thunb.) Makino  var. glehnii (F.Schmidt) H.Hara,オオウバユリ,エゾウバユリ,標準,1127,1954,,,,,,,,,,,,,,,,,,
Erythronium japonicum Decne.,カタクリ,カタカゴ,標準,1696,1854,,,,,,,,,,,,,,,,,,
Gagea nakaiana Kitag.,キバナノアマナ,"キバナアマナ, コウライアマナ",標準,1977,1939,,,,,,,,,,,,,,,,,,
Lilium callosum Siebold et Zucc.  var. flaviflorum Makino,キバナノヒメユリ,キスゲユリ,標準,1981,1913,,,,,,,,,,,,,,,,,,
Tricyrtis flava Maxim.,キバナノホトトギス,ホソバノキバナホトトギス,標準,1982,1867,,,,,,,,,,,,,,,,,,
Lilium leichtlinii Hook.f.  f. leichtlinii,キヒラドユリ,"キバナノコオニユリ, キヒラトユリ",標準,1992,1867,,,,,,,,,,,,,,,,,,
Lilium medeoloides A.Gray,クルマユリ,"チシマクルマユリ，ホソバクルマユリ, タガイハクルマユリ",標準,2223,1858,,,,,,,,,,,,,,,,,,
Fritillaria japonica Miq.,ミノコバイモ,コバイモ,標準,2639,1867,,,,,,,,,,,,,,,,,,
Tricyrtis macrantha Maxim.,ジョウロウホトトギス,トサジョウロウホトトギス,標準,3219,1888,,,,,,,,,,,,,,,,,,
Lilium maculatum Thunb.,スカシユリ,イワトユリ，イワユリ,標準,3373,1794,,,,,,,,,,,,,,,,,,
Tricyrtis latifolia Maxim.,タマガワホトトギス,"ニッコウホトトギス, ハゴロモホトトギス",標準,3793,1867,,,,,,,,,,,,,,,,,,
Lloydia serotina (L.) Rchb.,チシマアマナ,チシマソウ,標準,3842,1830,,,,,,,,,,,,,,,,,,
Fritillaria thunbergii Miq.,バイモ,アミガサユリ,標準,4776,1867,,,,,,,,,,,,,,,,,,
Lilium rubellum Baker,ヒメサユリ,"オトメユリ, アイヅユリ，コマチユリ",標準,5279,1898,,,,,,,,,,,,,,,,,,
Lilium concolor Salisb.,ヒメユリ,アカヒメユリ，コヒメユリ，トウヒメユリ,標準,5382,1806,,,,,,,,,,,,,,,,,,
Lloydia triflora (Ledeb.) Baker,ホソバノアマナ,ホソバアマナ,標準,5804,1874,,,,,,,,,,,,,,,,,,
Tricyrtis hirta (Thunb.) Hook.,ホトトギス,"マダラホトトギス，オガサホトトギス, イワホトトギス",標準,5857,1863,,,,,,,,,,,,,,,,,,
Lilium callosum Siebold et Zucc.,ノヒメユリ,スゲユリ,標準,6464,1838,,,,,,,,,,,,,,,,,,
Tricyrtis affinis Makino,ヤマジノホトトギス,チュウゴクホトトギス,標準,6747,1903,,,,,,,,,,,,,,,,,,
Lilium candidum L.,マドンナリリー,フランスユリ，　ニワシロユリ,標準,11207,1753,,,,,,,,,,,,,,,,,,
Lilium speciosum Thunb.  f. kratzeri Duchartre ex Baker,シラタマユリ,タメトモユリ,標準,11218,1875,,,,,,,,,,,,,,,,,,
Lilium martagon L.,マルタゴンリリー,マルタゴン,標準,11220,1753,,,,,,,,,,,,,,,,,,
Lilium x parkmannii Hort. ex T.Moore,ヒヤマユリ,パークマニー,標準,11235,1875,,,,,,,,,,,,,,,,,,
Tricyrtis maculata (D.Don) J.F.Macbr.,ヒマラヤホトトギス,ホウヨウホトトギス,標準,11255,1918,,,,,,,,,,,,,,,,,,
Tricyrtis formosana Baker,タイワンホトトギス,ツルタイワンホトトギス,標準,11256,1879,,,,,,,,,,,,,,,,,,
Fritillaria kaiensis Naruh.,カイコバイモ,シロコバイモ,標準,17818,1979,,,,,,,,,,,,,,,,,,
Lilium pumilum Redouté ,イトハユリ,イトバユリ，ホソバユリ，スゲユリ，イトユリ,標準,17976,1812,,,,,,,,,,,,,,,,,,
Fritillaria camschatcensis (L.) Ker Gawl.  var. camschatcensis,エゾクロユリ,クロユリ (s. s.),標準,19639,1809,,,,,,,,,,,,,,,,,,
Erythronium japonicum Decne.  f. leucanthum (I.Yamam. et Tsukam.) Okuyama,シロバナカタクリ,シロバナノカタクリ,標準,21995,1955,,,,,,,,,,,,,,,,,,
Tricyrtis affinis Makino  f. albida (Makino) Okuyama,シロバナヤマジノホトトギス,シロバナホトトギス,標準,21998,1955,,,,,,,,,,,,,,,,,,
Lilium concolor Salisb.  var. partheneion (Siebold et de Vriese) Baker,ヒメユリ,アカヒメユリ,狭義,28395,1871,,,,,,,,,,,,,,,,,,
Tricyrtis macropoda Miq.  f. epunctata Akasawa,ムテンヤマホトトギス,イヨホトトギス,標準,31384,1867,,,,,,,,,,,,,,,,,,
Tricyrtis puberula Nakai et Kitag.,マンシュウホトトギス,キザホトトギス,標準,36639,1934,,,,,,,,,,,,,,,,,,
Tricyrtis lasiocarpa Matsum.,ケタイワンホトトギス,ケホトトギス,標準,38614,1897,,,,,,,,,,,,,,,,,,
Tricyrtis dilatata Nakai  var. chinensis (Hir.Takah.) N.Tanaka,オオヤマホトトギス,チュウゴクヤマホトトギス,標準,43477,2012,,,,,,,,,,,,,,,,,,
"Dactylorhiza viridis (L.) R.M.Bateman, A.M.Pridgeton & M.W.Chase",アオチドリ,ネムロチドリ，タカネアオチドリ，チシマアオチドリ,標準,58,1997,,,,,,,,,,,,,,,,,,
Dactylostalix ringens Rchb.f.,イチヨウラン,ヒメヒトハラン (Miyabe & Kudo 1915),標準,498,1878,,,,,,,,,,,,,,,,,,
Eulophia zollingeri (Rchb.f.) J.J.Sm.,イモネヤガラ,"イモラン, タイワンヤガラ",標準,638,1905,,,,,,,,,,,,,,,,,,
Epipactis papillosa Franch. et Sav.,エゾスズラン,アオスズラン,標準,957,1879,,,,,,,,,,,,,,,,,,
Gastrodia elata Blume,オニノヤガラ,ヌスビトノアシ,標準,1561,1856,,,,,,,,,,,,,,,,,,
Epipactis thunbergii A.Gray,カキラン,スズラン,標準,1656,1857,,,,,,,,,,,,,,,,,,
Zeuxine strateumatica (L.) Schltr.,キヌラン,ホソバラン,標準,1962,1911,,,,,,,,,,,,,,,,,,
Cypripedium japonicum Thunb.,クマガイソウ,クマガエソウ,標準,2180,1784,,,,,,,,,,,,,,,,,,
Oreorchis patens (Lindl.) Lindl.,コケイラン,"ヒメケイラン (Makino 1889), ヒメコケイラン",標準,2538,1854,,,,,,,,,,,,,,,,,,
Calanthe tricarinata Lindl.,サルメンエビネ,ヒダブチエビネ,標準,2917,1833,,,,,,,,,,,,,,,,,,
Eleorchis japonica (A.Gray) F.Maek.,サワラン,アサヒラン,標準,2937,1935,,,,,,,,,,,,,,,,,,
Liparis krameri Franch. et Sav.  var. krameri,ジガバチソウ,ヒメジガバチソウ,標準,2980,1879,,,,,,,,,,,,,,,,,,
Cymbidium goeringii (Rchb.f.) Rchb.f.,シュンラン,"ホクロ, シナシュンラン, タイワンシュンラン",標準,3204,1852,,,,,,,,,,,,,,,,,,
Cymbidium ensifolium (L.) Sw.,スルガラン,"コラン， ギョクチンラン， ソシンラン, ダイミョウラン, カンノンラン, アカメソシン, ヤキバラン",標準,3444,1799,,,,,,,,,,,,,,,,,,
Dendrobium moniliforme (L.) Sw.,セッコク,セキコク,標準,3490,1799,,,,,,,,,,,,,,,,,,
Odontochilus yakushimensis (Yamam.) T.Yukawa,ヤクシマヒメアリドオシラン,ウスベニタシロラン,標準,4794,2016,,,,,,,,,,,,,,,,,,
"Hemipilia lepida (Rchb.f.) Y.Tang, H.Peng et T.Yukawa",オキナワチドリ,"リュウキュウチドリ, リュウキュウヒナラン, オキナワヒナラン",標準,5182,2015,,,,,,,,,,,,,,,,,,
Luisia teres (Thunb.) Blume,ボウラン,リュウキュウボウラン，タネガシマボウラン,標準,5717,1848,,,,,,,,,,,,,,,,,,
Herminium pusillum Ohwi et Fukuy.,ミスズラン,ニイタカムカゴソウ,標準,6098,1934,,,,,,,,,,,,,,,,,,
Platanthera hologlottis Maxim.,ミズチドリ,ジャコウチドリ,標準,6104,1859,,,,,,,,,,,,,,,,,,
Gymnadenia conopsea (L.) R.Br.,テガタチドリ,チドリソウ,標準,8800,1813,,,,,,,,,,,,,,,,,,
Cypripedium yatabeanum Makino,キバナノアツモリソウ,コクマガイソウ,標準,9765,1899,,,,,,,,,,,,,,,,,,
Cypripedium guttatum Sw.,チョウセンキバナアツモリソウ,デワノアツモリソウ,標準,9766,1800,,,,,,,,,,,,,,,,,,
Cypripedium calceolus L.,カラフトアツモリソウ,"オオキバナアツモリ, オオキバナノアツモリ",標準,9769,1753,,,,,,,,,,,,,,,,,,
Habenaria stenopetala Lindl.,ナガバサギソウ,テツオサギソウ,標準,9772,1835,,,,,,,,,,,,,,,,,,
Peristylus intrudens (Ames) Ormerod,ヒュウガトンボ,ヒメトンボ,標準,9776,2011,,,,,,,,,,,,,,,,,,
Peristylus calcaratus (Rolfe) S.Y.Hu,ヒゲナガトンボ,"テナガトンボソウ, テナガトンボ, オオスミサギソウ (Hatusima 1971)",標準,9779,1974,,,,,,,,,,,,,,,,,,
Habenaria dentata (Sw.) Schltr.,ダイサギソウ,"シマサギソウ, トウホサギソウ",標準,9780,1919,,,,,,,,,,,,,,,,,,
Habenaria linearifolia Maxim.,オオミズトンボ,サワトンボ,標準,9781,1859,,,,,,,,,,,,,,,,,,
Platanthera stenoglossa Hayata  subsp. stenoglossa,タイトントンボソウ,ランカントンボソウ,標準,9789,1914,,,,,,,,,,,,,,,,,,
Platanthera sonoharae Masam.,クニガミトンボソウ,"ソノハラトンボ, クニガミトンボ",標準,9791,1964,,,,,,,,,,,,,,,,,,
Platanthera boninensis Koidz.,シマツレサギソウ,"ムニンツレサギソウ, ムニンツレサギ",標準,9792,1919,,,,,,,,,,,,,,,,,,
Platanthera minor (Miq.) Rchb.f.,ノヤマトンボ,"オオバノトンボソウ, ノヤマトンボソウ, タイワンヤマトンボ",標準,9803,1878,,,,,,,,,,,,,,,,,,
Platanthera takedae Makino  subsp. takedae,ミヤマチドリ,ニッコウチドリ,標準,9808,1903,,,,,,,,,,,,,,,,,,
Platanthera mandarinorum Rchb.f.  subsp. mandarinorum  var. mandarinorum,ハシナガヤマサギソウ,オオバナヤマサギソウ,標準,9813,1852,,,,,,,,,,,,,,,,,,
Galearis cyclochila (Franch. et Sav.) Soó,カモメラン,カモメソウ，イチヨウチドリ,標準,9828,1969,,,,,,,,,,,,,,,,,,
Dactylorhiza aristata (Fisch. ex Lindl.) Soó f. punctata (Tatew.) F.Maek. ex Toyok.,ウズラバハクサンチドリ,フイリハクサンチドリ,標準,9829,1978,,,,,,,,,,,,,,,,,,
"Hemipilia chidori (Makino) Y.Tang, H.Peng et T.Yukawa",ヒナチドリ,チャボチドリ,標準,9834,2015,,,,,,,,,,,,,,,,,,
"Hemipilia gracilis (Blume) Y.Tang, H.Peng et T.Yukawa",ヒナラン,タカサゴヒナラン,標準,9837,2015,,,,,,,,,,,,,,,,,,
Nervilia aragoana Gaudich.,ヤエヤマヒトツボクロ,アオイボクロ (Makino 1896)，ヤエヤマクマガイソウ，ヤエヤマヒトツバラン,標準,9840,1829,,,,,,,,,,,,,,,,,,
Epipogium roseum (D.Don) Lindl.,タシロラン,"タカトリラン, リュウキュウムヨウラン",標準,9843,1857,,,,,,,,,,,,,,,,,,
Stereosandra javanica Blume,イリオモテムヨウラン,ツリガネラン,標準,9844,1856,,,,,,,,,,,,,,,,,,
Gastrodia javanica (Blume) Lindl.,コンジキヤガラ,リュウキュウヤガラ,標準,9846,1840,,,,,,,,,,,,,,,,,,
Gastrodia gracilis Blume,ナヨテンマ,ナガイモヤガラ,標準,9850,1856,,,,,,,,,,,,,,,,,,
Gastrodia nipponica (Honda) Tuyama,ハルザキヤツシロラン,フユザキヤツシロラン,標準,9851,1939,,,,,,,,,,,,,,,,,,
Lecanorchis kiusiana Tuyama,ウスギムヨウラン,ウスキムヨウラン,標準,9860,1955,,,,,,,,,,,,,,,,,,
Erythrorchis altissima (Blume) Blume,タカツルラン,"ツルツチアケビ, オオチョウビツルラン",標準,9862,1837,,,,,,,,,,,,,,,,,,
Cephalanthera longifolia (L.) Fritsch,クゲヌマラン,"エゾギンラン, エゾノハクサンラン",標準,9866,1888,,,,,,,,,,,,,,,,,,
Epipactis papillosa Franch. et Sav.  var. sayekiana (Makino) T.Koyama et Asai,ハマカキラン,マルバハマカキラン,標準,9872,1958,,,,,,,,,,,,,,,,,,
Neottia japonica (Blume) Szlach.,ヒメフタバラン,オオフタバラン (Makino 1893)，ムラサキフタバラン,標準,9875,1995,,,,,,,,,,,,,,,,,,
Neottia cordata (L.) Rich.,コフタバラン,フタバラン,標準,9883,1938,,,,,,,,,,,,,,,,,,
Neottia acuminata Schltr.,ヒメムヨウラン,コムヨウラン,標準,9886,1924,,,,,,,,,,,,,,,,,,
Corymborkis veratrifolia (Reinw.) Blume,バイケイラン,チクセツラン,標準,9887,1859,,,,,,,,,,,,,,,,,,
Goodyera viridiflora (Blume) Lindl. ex A.Dietr.,シマシュスラン,イチゲシュスラン，オオシュスラン,標準,9905,1852,,,,,,,,,,,,,,,,,,
Goodyera schlechtendaliana Rchb.f.  f. similis (Blume) Makino,フナシミヤマウズラ,サトウズラ,標準,9908,1905,,,,,,,,,,,,,,,,,,
Goodyera velutina Maxim.,シュスラン,ビロードラン,標準,9909,1867,,,,,,,,,,,,,,,,,,
