学名 withAuthor,和名,別名,ステータス,ID,発表年,,,,,,,,,,,,,,,,,,
Plagiochila ovalifolia Mitt.,マルバハネゴケ,マルバタチムカデゴケ,標準,15132,1891,,,,,,,,,,,,,,,,,,
Plagiochila trabeculata Steph.,キハネゴケ,キノボリハネゴケ,標準,15134,1902,,,,,,,,,,,,,,,,,,
Plagiochila parvifolia Lindenb.,ヨコグラハネゴケ,ハットリハネゴケ,標準,15136,1839,,,,,,,,,,,,,,,,,,
Plagiochila gracilis Lindenb. et Gottsche,ヒゲハネゴケ,ウルシハネゴケ,標準,27173,1847,,,,,,,,,,,,,,,,,,
Odontoschisma jishibae (Steph.) L.Söderstr. et Vána,イイシバヤバネゴケ,イイシバコハネゴケ,標準,15147,2013,,,,,,,,,,,,,,,,,,
Odontoschisma grosseverrucosum Steph.,フチドリイボクチキゴケ,"イボクチキゴケ, モエギクチキゴケ",標準,15156,1897,,,,,,,,,,,,,,,,,,
Cephalozia bicuspidata (L.) Dumort.,ヤバネゴケ,ヤマトヤバネゴケ,標準,17731,1835,,,,,,,,,,,,,,,,,,
Cylindrocolea kiaeri (Austin) Vána,オオミネヤバネゴケ,コバノヒメヤバネゴケ,標準,23660,2013,,,,,,,,,,,,,,,,,,
Obtusifolium obtusum (Lindb.) S.W.Arnell,マルバイチョウゴケ,マルバイチョウウロコゴケ,標準,25159,1956,,,,,,,,,,,,,,,,,,
Tritomaria exsecta (Schmidel) Schiffn. ex Loeske,イチョウゴケ,イチョウウロコゴケ,標準,15066,1909,,,,,,,,,,,,,,,,,,
Lophozia guttulata (Lindb. et Arnell) A.Evans,フォーリーイチョウゴケ,フォーリーイチョウウロコゴケ,標準,15071,1900,,,,,,,,,,,,,,,,,,
Lophozia silvicoloides N.Kitag.,タカネイチョウゴケ,タカネイチョウウロコゴケ,標準,25154,1965,,,,,,,,,,,,,,,,,,
Lophozia ascendens (Warnst.) R.M.Schust.,タチイチョウゴケ,タチイチョウウロコゴケ,標準,25155,1952,,,,,,,,,,,,,,,,,,
Lophozia lacerata N.Kitag.,ハナザキイチョウゴケ,ハナザキイチョウウロコゴケ,標準,25156,1963,,,,,,,,,,,,,,,,,,
Lophozia wenzelii (Nees) Steph.,タイワンイチョウゴケ,タイワンイチョウウロコゴケ,標準,25157,1906,,,,,,,,,,,,,,,,,,
Lophoziopsis excisa (Dicks.) Konstant. et Vilnet,ヤワライチョウゴケ,ヤワライチョウウロコゴケ,標準,25158,2010,,,,,,,,,,,,,,,,,,
Tritomaria quinquedentata (Huds.) H.Buch,エゾイチョウゴケ,"エゾイチョウウロコゴケ 
(Hattori 1942)",標準,48865,0,,,,,,,,,,,,,,,,,,
"Neoorthocaulis attenuatus (Mart.) L.Söderstr., De Roo et Hedd.",ホソイチョウゴケ,ホソイチョウウロコゴケ,標準,15065,2010,,,,,,,,,,,,,,,,,,
Schljakovia kunzeana (Huebener) Konstant. et Vilnet,ヌマイチョウゴケ,エゾイチョウゴケ,標準,15067,2010,,,,,,,,,,,,,,,,,,
"Barbilophozia sudetica (Nees ex Huebener) L.Söderstr., De Roo et Hedd.",マスハイチョウゴケ,マスハイチョウウロコゴケ,標準,15072,2010,,,,,,,,,,,,,,,,,,
Sphenolobus minutus (Schreb. ex Crantz) Berggr.,ヒメイチョウゴケ,ヒメイチョウウロコゴケ,標準,15077,1898,,,,,,,,,,,,,,,,,,
Sphenolobus saxicola (Schrad.) Steph.,カラフトイチョウゴケ,カラフトイチョウウロコゴケ,標準,27781,1902,,,,,,,,,,,,,,,,,,
Crossocalyx hellerianus (Nees ex Lindenb.) Meyl.,コダマイチョウゴケ,コダマイチョウウロコゴケ,標準,27782,1939,,,,,,,,,,,,,,,,,,
Schistochilopsis incisa (Schrad.) Konstant.,キザミイチョウゴケ,キザミイチョウウロコゴケ,標準,15069,1994,,,,,,,,,,,,,,,,,,
Diplophyllum serrulatum (Müll.Frib.) Steph.,ノコギリコオイゴケ,ノコギリフタエウロコゴケ,標準,15106,1910,,,,,,,,,,,,,,,,,,
Diplophyllum taxifolium (Wahlenb.) Dumort.,ホソバコオイゴケ,ホソバフタエウロコゴケ,標準,15107,1835,,,,,,,,,,,,,,,,,,
Scapania parvitexta Steph.,コアミメヒシャクゴケ,"コヒシャクゴケ, コバウロコゴケ, オカムラヒシャクゴケ",標準,15112,1897,,,,,,,,,,,,,,,,,,
Scapania ciliatospinosa Horik.,タニガワヒシャクゴケ,ニイタカヒシャクゴケ,標準,20128,1934,,,,,,,,,,,,,,,,,,
Scapania subnimbosa Steph.,タマゴバヒシャクゴケ,キイヒシャクゴケ,標準,27816,1910,,,,,,,,,,,,,,,,,,
Scapania ligulata Steph.,シタバヒシャクゴケ,チャボヒシャクゴケ,標準,27827,1904,,,,,,,,,,,,,,,,,,
Scapania integerrima Steph.,ハナシヒシャクゴケ,カミムラヒシャクゴケ,標準,27828,1910,,,,,,,,,,,,,,,,,,
Saccogynidium muricellum (De Not.) Grolle,イボソコマメゴケ,ナンゴクソコマメゴケ (Furuki 1987),標準,27866,1972,,,,,,,,,,,,,,,,,,
Calypogeia japonica Steph.,フソウツキヌキゴケ,"ツクシホラゴケモドキ, アサヒホラゴケモドキ",標準,15053,1924,,,,,,,,,,,,,,,,,,
Calypogeia integristipula Steph.,ミヤマホラゴケモドキ,マルバホラゴケエモドキ,標準,15055,1908,,,,,,,,,,,,,,,,,,
Calypogeia sphagnicola (Arnell et J.Perss.) Warnst. et Loeske,ミズホラゴケモドキ,カラフトホラゴケモドキ (Horikawa 1934),標準,18686,1905,,,,,,,,,,,,,,,,,,
Liochlaena subulata (A.Evans) Schljakov,ツツソロイゴケ,ナガバウロコゴケ,標準,20323,1973,,,,,,,,,,,,,,,,,,
Mesoptychia chichibuensis (Inoue) L.Söderstr. et Váña,チチブブシュカンゴケ,"イシバイイチョウゴケ, イシバイイチョウウロコゴケ",標準,20339,2012,,,,,,,,,,,,,,,,,,
Mesoptychia heterocolpos (Thed. ex Hartm.) L.Söderstr. et Váña,ユキミイチョウゴケ,ユキミイチョウウロコゴケ,標準,34351,2012,,,,,,,,,,,,,,,,,,
Mesoptychia igiana (S.Hatt.) L.Söderstr. et Váña,イギイチョウゴケ,イギイチョウウロコゴケ,標準,34352,2012,,,,,,,,,,,,,,,,,,
Mesoptychia morrisonicola (Horik.) L.Söderstr. et Váña,ハガワリイチョウゴケ,ハガワリイチョウウロコゴケ,標準,34353,2012,,,,,,,,,,,,,,,,,,
Solenostoma virgatum (Mitt.) Vána et D.G.Long,キブリツボミゴケ,ヒトスジツボミゴケ,標準,15088,2009,,,,,,,,,,,,,,,,,,
Solenostoma rosulans (Steph.) Vána et D.G.Long,ロゼットツボミゴケ,ツボミゴケ,標準,15089,2009,,,,,,,,,,,,,,,,,,
Solenostoma fusiforme (Steph.) R.M.Schust.,ツムウロコゴケ,サイシュウソロイゴケ,標準,15092,1969,,,,,,,,,,,,,,,,,,
Solenostoma hiugaense Amakawa,ヒュウガソロイゴケ,ヒュウガウロコゴケ (Amakawa 1954),標準,27521,1956,,,,,,,,,,,,,,,,,,
Solenostoma rotundatum Amakawa,ハラツボミゴケ,マルバソロイゴケ　（Amakawa 1956),標準,27533,1956,,,,,,,,,,,,,,,,,,
Gymnomitrion faurieanum (Steph.) Horik.,フォーリーサキジロゴケ,サキジロゴケ,標準,48982,1943,,,,,,,,,,,,,,,,,,
Sphagnum fimbriatum Wilson,ヒメミズゴケ,ホソヒメミズゴケ,標準,14371,1845,,,,,,,,,,,,,,,,,,
Sphagnum junghuhnianum Dozy et Molk.  subsp. pseudomolle (Warnst.) H.Suzuki,ホソベリミズゴケ,コバノホソベリミズゴケ,標準,14373,1956,,,,,,,,,,,,,,,,,,
Sphagnum calymmatophyllum Warnst. et Cardot,コバノミズゴケ,"ガッサンミズゴケ, イトミズゴケ, ミツアナミズゴケ",標準,14378,1907,,,,,,,,,,,,,,,,,,
Sphagnum microporum Warnst. ex Cardot,コアナミズゴケ,センダイミズゴケ,標準,14379,1904,,,,,,,,,,,,,,,,,,
Sphagnum imbricatum Hornsch. ex Russow,フナガタミズゴケ,クシノハミズゴケ,標準,17201,1865,,,,,,,,,,,,,,,,,,
Sphagnum capillifolium (Ehrh.) Hedw.  var. tenellum (Schimp.) H.A.Crum,ウスベニミズゴケ,アカミズゴケ,標準,17210,1975,,,,,,,,,,,,,,,,,,
Sphagnum warnstorfii Russow,ヒナミズゴケ,ワルンストルフミズゴケ,標準,17212,1887,,,,,,,,,,,,,,,,,,
